"time","first_hit","first","second_hit","second","third","fourth","over"
881,0,0,12,8741200,345800,7000,116551216
880,2,140523000,5,25601700,411800,7700,0
879,0,0,3,41643400,1078500,15700,138812697
878,1,290609800,3,45669000,572800,9900,0
877,0,0,9,13837700,561800,11200,138378499
876,1,128626000,6,19293700,553400,8600,0
875,2,129788300,13,9319800,265300,5700,0
874,0,0,14,8032700,497900,8600,124955572
873,1,136319400,9,13631800,841200,12600,0
872,1,117975100,12,8848000,390800,7200,0
871,3,38178300,16,6442500,292400,6500,0
870,1,129034400,4,29032400,561900,9700,0
869,7,89021500,8,19709700,333100,6900,0
868,0,0,9,17432300,579200,11100,447951484
867,0,0,19,6870700,329100,7500,273626115
866,0,0,3,38572500,697700,10600,128576326
865,6,16727400,18,5018200,158700,3800,0
864,2,68694900,15,8243300,915900,13000,0
863,2,145531400,12,11677900,570000,9800,0
862,0,0,2,60909600,557900,10800,135355967
861,3,41471000,13,8613100,408400,8900,0
860,3,101556000,5,30285500,701500,11100,0
859,0,0,4,30692700,691600,11500,136413520
858,2,71353500,4,32108800,774400,13300,0
857,1,128078300,5,23053900,475300,8600,0
856,2,155268000,9,17613600,745900,12900,0
855,0,0,5,24191300,441100,10100,134397657
854,1,280741900,33,4030900,272300,6600,0
853,0,0,3,39881400,586000,11000,132939440
852,1,129224400,4,29075200,643100,10000,0
851,3,96122100,11,12114700,291800,6200,0
850,0,0,2,63132700,490300,12900,140296289
849,2,64046100,6,19213600,435000,8000,0
848,2,232909500,7,21991800,599700,9400,0
847,0,0,4,36614400,697400,11600,294769911
846,0,0,10,11883200,654100,10700,132037455
845,1,270730000,9,14440900,313800,6800,0
844,0,0,12,9473800,376800,7800,126319769
843,1,132563500,9,13256200,617100,9900,0
842,2,142963400,12,11661000,496800,9600,0
841,0,0,3,39133100,506700,9700,130444902
840,2,62492100,13,8652600,351500,7800,0
839,2,58819200,6,17645600,404600,6700,0
838,1,302484800,3,50239200,873700,14000,0
837,0,0,14,8679700,479600,11800,135019275
836,2,69974600,3,41984400,858700,12200,0
835,4,76167200,19,7637400,372800,7600,0
834,0,0,6,21514700,710500,12000,143432919
833,1,129867100,13,8990700,428900,7600,0
832,2,70326900,2,63293600,709800,12300,0
831,3,42071400,18,6310600,292500,6400,0
830,4,34145100,8,15365200,542300,9000,0
